  edge_min  pair_min  balls  edges  path
    16.115     9.069   3660   7140  output/wythoff_sweep\cantitruncated_600-cell\H4_0111_09_6237017ed4.vZome
    16.115     9.069   3660   7140  output/wythoff_sweep\cantitruncated_600-cell\H4_0111_10_731abc5dc0.vZome
    16.115     9.069   3660   7140  output/wythoff_sweep\cantitruncated_600-cell\H4_0111_11_98d0fae89b.vZome
    16.115     9.069   3660   7140  output/wythoff_sweep\cantitruncated_600-cell\H4_0111_12_b5a8ec0026.vZome
    16.115     9.069   3660   7140  output/wythoff_sweep\cantitruncated_600-cell\H4_0111_13_1fc5749f9e.vZome
    16.115     9.069   3660   7140  output/wythoff_sweep\cantitruncated_600-cell\H4_0111_14_b54e075a59.vZome
    16.115     9.069   3660   7140  output/wythoff_sweep\cantitruncated_600-cell\H4_0111_15_d2bc1b0ca3.vZome
    16.115     9.069   3660   7140  output/wythoff_sweep\cantitruncated_600-cell\H4_0111_16_1dd1965c7d.vZome
    16.115     9.069   3660   7140  output/wythoff_sweep\cantitruncated_600-cell\H4_0111_17_c95674ff52.vZome
    16.115     9.069   3660   7140  output/wythoff_sweep\cantitruncated_600-cell\H4_0111_18_da41392ff5.vZome
    16.115     9.069   3660   7140  output/wythoff_sweep\cantitruncated_600-cell\H4_0111_19_59350c907e.vZome
    16.115     9.069   3660   7140  output/wythoff_sweep\cantitruncated_600-cell\H4_0111_20_24655dcf09.vZome
    16.115     9.069   3660   7140  output/wythoff_sweep\cantitruncated_600-cell\H4_0111_21_a2c47bfa62.vZome
    16.115     9.069   3660   7140  output/wythoff_sweep\cantitruncated_600-cell\H4_0111_22_665d7f8ac3.vZome
    16.115     9.069   3660   7140  output/wythoff_sweep\cantitruncated_600-cell\H4_0111_23_1a0d721320.vZome
    16.115     9.069   3660   7140  output/wythoff_sweep\cantitruncated_600-cell\H4_0111_24_8f579c25f1.vZome
    16.115     9.069   3660   7140  output/wythoff_sweep\cantitruncated_600-cell\H4_0111_25_49d3d59b0b.vZome
    16.115     9.069   7200  14160  output/wythoff_sweep\omnitruncated_120-cell\H4_1111_00_6530022112.vZome
    16.115     9.069   7200  14160  output/wythoff_sweep\omnitruncated_120-cell\H4_1111_01_b2f04de7df.vZome
    16.115     9.069   7200  14160  output/wythoff_sweep\omnitruncated_120-cell\H4_1111_02_0b7e8bc85e.vZome
    16.115     9.069   7200  14160  output/wythoff_sweep\omnitruncated_120-cell\H4_1111_03_b4c2c2bed8.vZome
