skipping 8 polytopes already in log
=== prismatic sweep rng=4  (196 polytopes) ===
  generating kernels at rng=4 (permute_dedup=False)...
  21523360 kernel directions (68.04s)
[11:53:10] [54/196  27.6% elapsed=8044s ETA=21153s] 14_antiprismatic_prism zero_hits emit=0 snap_fail=0
[11:54:20] [55/196  28.1% elapsed=8114s ETA=20803s] duoprism_3_20 ok emit=0 snap_fail=259
[11:54:34] [56/196  28.6% elapsed=8129s ETA=20322s] duoprism_4_15 ok emit=0 snap_fail=492
[12:04:32] [57/196  29.1% elapsed=8727s ETA=21281s] duoprism_5_12 ok emit=0 snap_fail=249
[12:05:21] [58/196  29.6% elapsed=8775s ETA=20879s] duoprism_6_10 ok emit=0 snap_fail=983
[12:07:29] [59/196  30.1% elapsed=8904s ETA=20675s] duoprism_7_9 zero_hits emit=0 snap_fail=0
[12:07:39] [60/196  30.6% elapsed=8913s ETA=20203s] 15_antiprismatic_prism zero_hits emit=0 snap_fail=0
[12:08:00] [61/196  31.1% elapsed=8934s ETA=19773s] duoprism_4_16 ok emit=0 snap_fail=221
[12:10:35] [62/196  31.6% elapsed=9090s ETA=19646s] duoprism_8_8 ok emit=0 snap_fail=230
[12:18:56] [63/196  32.1% elapsed=9590s ETA=20246s] duoprism_5_13 ok emit=0 snap_fail=492
[12:21:56] [64/196  32.7% elapsed=9771s ETA=20152s] 16_antiprismatic_prism zero_hits emit=0 snap_fail=0
[12:25:07] [65/196  33.2% elapsed=9962s ETA=20077s] duoprism_4_17 ok emit=0 snap_fail=494
[12:25:39] [66/196  33.7% elapsed=9993s ETA=19683s] duoprism_6_11 ok emit=0 snap_fail=487
[12:26:00] [67/196  34.2% elapsed=10014s ETA=19281s] duoprism_7_10 ok emit=0 snap_fail=495
[12:28:53] [68/196  34.7% elapsed=10188s ETA=19177s] duoprism_4_18 ok emit=0 snap_fail=494
[12:30:42] [69/196  35.2% elapsed=10296s ETA=18951s] duoprism_5_14 ok emit=0 snap_fail=500
[12:31:04] [70/196  35.7% elapsed=10318s ETA=18573s] 17_antiprismatic_prism zero_hits emit=0 snap_fail=0
[12:39:18] [71/196  36.2% elapsed=10812s ETA=19036s] duoprism_6_12 ok emit=0 snap_fail=248
[12:40:36] [72/196  36.7% elapsed=10890s ETA=18755s] duoprism_8_9 ok emit=0 snap_fail=491
[12:46:07] [73/196  37.2% elapsed=11222s ETA=18908s] duoprism_4_19 ok emit=0 snap_fail=490
[12:50:16] [74/196  37.8% elapsed=11470s ETA=18911s] duoprism_7_11 zero_hits emit=0 snap_fail=0
[12:50:32] [75/196  38.3% elapsed=11486s ETA=18531s] duoprism_5_15 ok emit=0 snap_fail=501
[12:52:39] [76/196  38.8% elapsed=11614s ETA=18338s] duoprism_6_13 ok emit=0 snap_fail=480
[12:53:37] [77/196  39.3% elapsed=11672s ETA=18038s] 18_antiprismatic_prism zero_hits emit=0 snap_fail=0
[12:53:38] [78/196  39.8% elapsed=11672s ETA=17658s] 19_antiprismatic_prism zero_hits emit=0 snap_fail=0
[12:56:51] [79/196  40.3% elapsed=11866s ETA=17574s] duoprism_4_20 ok emit=0 snap_fail=259
[13:02:10] [80/196  40.8% elapsed=12185s ETA=17668s] duoprism_5_16 ok emit=0 snap_fail=223
[13:02:50] [81/196  41.3% elapsed=12225s ETA=17356s] duoprism_8_10 ok emit=0 snap_fail=721
[13:07:51] [82/196  41.8% elapsed=12526s ETA=17414s] duoprism_9_9 zero_hits emit=0 snap_fail=0
[13:09:48] [83/196  42.3% elapsed=12642s ETA=17212s] duoprism_7_12 zero_hits emit=0 snap_fail=0
[13:10:44] [84/196  42.9% elapsed=12698s ETA=16931s] duoprism_6_14 ok emit=0 snap_fail=496
[13:13:33] [85/196  43.4% elapsed=12867s ETA=16803s] duoprism_8_11 ok emit=0 snap_fail=495
[13:16:10] [86/196  43.9% elapsed=13024s ETA=16659s] duoprism_5_17 ok emit=0 snap_fail=498
[13:17:40] [87/196  44.4% elapsed=13114s ETA=16430s] 20_antiprismatic_prism zero_hits emit=0 snap_fail=0
[13:23:01] [88/196  44.9% elapsed=13436s ETA=16490s] duoprism_6_15 ok emit=0 snap_fail=492
[13:23:17] [89/196  45.4% elapsed=13451s ETA=16172s] duoprism_5_18 ok emit=0 snap_fail=498
[13:25:00] [90/196  45.9% elapsed=13554s ETA=15964s] duoprism_9_10 ok emit=0 snap_fail=494
[13:27:52] [91/196  46.4% elapsed=13727s ETA=15839s] duoprism_7_13 zero_hits emit=0 snap_fail=0
[13:29:47] [92/196  46.9% elapsed=13842s ETA=15647s] truncated_cuboctahedron_prism ok emit=0 snap_fail=5
[13:33:30] [93/196  47.4% elapsed=14064s ETA=15577s] duoprism_5_19 ok emit=0 snap_fail=505
[13:33:49] [94/196  48.0% elapsed=14083s ETA=15282s] duoprism_8_12 ok emit=0 snap_fail=251
[13:34:36] [95/196  48.5% elapsed=14130s ETA=15023s] duoprism_6_16 ok emit=0 snap_fail=221
[13:39:18] [96/196  49.0% elapsed=14412s ETA=15013s] duoprism_7_14 zero_hits emit=0 snap_fail=0
[13:41:05] [97/196  49.5% elapsed=14520s ETA=14819s] duoprism_9_11 zero_hits emit=0 snap_fail=0
[13:45:06] [98/196  50.0% elapsed=14760s ETA=14760s] duoprism_5_20 ok emit=0 snap_fail=261
[13:48:01] [99/196  50.5% elapsed=14936s ETA=14634s] duoprism_10_10 ok emit=2 snap_fail=493
[13:49:32] [100/196  51.0% elapsed=15027s ETA=14426s] duoprism_6_17 ok emit=0 snap_fail=494
[13:50:54] [101/196  51.5% elapsed=15108s ETA=14211s] duoprism_8_13 ok emit=0 snap_fail=488
[13:51:51] [102/196  52.0% elapsed=15166s ETA=13977s] duoprism_7_15 zero_hits emit=0 snap_fail=0
[13:53:27] [103/196  52.6% elapsed=15261s ETA=13780s] duoprism_6_18 ok emit=0 snap_fail=494
[13:55:56] [104/196  53.1% elapsed=15411s ETA=13633s] duoprism_9_12 zero_hits emit=0 snap_fail=0
[14:01:57] [105/196  53.6% elapsed=15772s ETA=13669s] duoprism_7_16 zero_hits emit=0 snap_fail=0
[14:02:43] [106/196  54.1% elapsed=15818s ETA=13430s] duoprism_10_11 ok emit=0 snap_fail=494
[14:04:21] [107/196  54.6% elapsed=15916s ETA=13238s] duoprism_8_14 ok emit=0 snap_fail=500
[14:09:20] [108/196  55.1% elapsed=16214s ETA=13211s] duoprism_9_13 zero_hits emit=0 snap_fail=0
[14:10:20] [109/196  55.6% elapsed=16274s ETA=12989s] duoprism_6_19 ok emit=0 snap_fail=490
[14:10:29] [110/196  56.1% elapsed=16283s ETA=12730s] duoprism_7_17 zero_hits emit=0 snap_fail=0
[14:10:47] [111/196  56.6% elapsed=16302s ETA=12483s] truncated_dodecahedron_prism ok emit=8 snap_fail=0
[14:13:07] [112/196  57.1% elapsed=16442s ETA=12331s] truncated_icosahedron_prism ok emit=6 snap_fail=0
[14:19:03] [113/196  57.7% elapsed=16797s ETA=12338s] rhombicosidodecahedron_prism ok emit=6 snap_fail=0
[14:22:48] [114/196  58.2% elapsed=17023s ETA=12244s] duoprism_6_20 ok emit=0 snap_fail=259
[14:26:51] [115/196  58.7% elapsed=17266s ETA=12161s] duoprism_8_15 ok emit=0 snap_fail=501
[14:27:44] [116/196  59.2% elapsed=17319s ETA=11944s] duoprism_7_18 zero_hits emit=0 snap_fail=0
[14:28:35] [117/196  59.7% elapsed=17370s ETA=11728s] duoprism_11_11 zero_hits emit=0 snap_fail=0
